=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.17 14:46:12 =~=~=~=~=~=~=~=~=~=~=~=
FL: 463 , FR: 649 , SL: 94 , SR: 33
FL: 432 , FR: 648 , SL: 94 , SR: 34
FL: 452 , FR: 650 , SL: 95 , SR: 37
FL: 446 , FR: 644 , SL: 95 , SR: 33
FL: 383 , FR: 649 , SL: 95 , SR: 34
FL: 464 , FR: 649 , SL: 96 , SR: 33
FL: 588 , FR: 649 , SL: 93 , SR: 33
FL: 277 , FR: 649 , SL: 93 , SR: 37
FL: 265 , FR: 649 , SL: 89 , SR: 34
FL: 267 , FR: 662 , SL: 97 , SR: 34
FL: 644 , FR: 649 , SL: 94 , SR: 34
FL: 500 , FR: 485 , SL: 93 , SR: 34
FL: 493 , FR: 648 , SL: 94 , SR: 33
FL: 555 , FR: 649 , SL: 85 , SR: 34
FL: 539 , FR: 651 , SL: 80 , SR: 33
FL: 513 , FR: 673 , SL: 75 , SR: 33
FL: 518 , FR: 650 , SL: 72 , SR: 34
FL: 511 , FR: 649 , SL: 72 , SR: 34
FL: 495 , FR: 648 , SL: 72 , SR: 33
FL: 620 , FR: 433 , SL: 77 , SR: 34
FL: 314 , FR: 270 , SL: 72 , SR: 34
FL: 267 , FR: 270 , SL: 77 , SR: 33
FL: 266 , FR: 291 , SL: 72 , SR: 37
FL: 266 , FR: 270 , SL: 76 , SR: 30
FL: 266 , FR: 267 , SL: 77 , SR: 33
FL: 267 , FR: 268 , SL: 76 , SR: 34
FL: 267 , FR: 266 , SL: 77 , SR: 36
FL: 266 , FR: 271 , SL: 72 , SR: 34
FL: 267 , FR: 271 , SL: 76 , SR: 33
FL: 267 , FR: 271 , SL: 72 , SR: 33
FL: 268 , FR: 294 , SL: 76 , SR: 33
FL: 266 , FR: 266 , SL: 76 , SR: 38
FL: 267 , FR: 286 , SL: 74 , SR: 30
FL: 644 , FR: 649 , SL: 124 , SR: 34
FL: 470 , FR: 649 , SL: 76 , SR: 34
FL: 265 , FR: 274 , SL: 52 , SR: 463
FL: 266 , FR: 282 , SL: 208 , SR: 45
FL: 267 , FR: 278 , SL: 268 , SR: 184
FL: 265 , FR: 279 , SL: 388 , SR: 249
FL: 277 , FR: 281 , SL: 372 , SR: 342
FL: 265 , FR: 573 , SL: 71 , SR: 34
FL: 557 , FR: 648 , SL: 77 , SR: 29
FL: 644 , FR: 338 , SL: 93 , SR: 74
FL: 381 , FR: 284 , SL: 44 , SR: 79
FL: 246 , FR: 302 , SL: 35 , SR: 91
FL: 270 , FR: 339 , SL: 56 , SR: 91
FL: 294 , FR: 345 , SL: 86 , SR: 101
FL: 309 , FR: 346 , SL: 80 , SR: 105
FL: 306 , FR: 342 , SL: 85 , SR: 105
FL: 306 , FR: 341 , SL: 61 , SR: 107
FL: 316 , FR: 341 , SL: 64 , SR: 109
FL: 343 , FR: 333 , SL: 72 , SR: 105
FL: 537 , FR: 318 , SL: 81 , SR: 101
FL: 654 , FR: 319 , SL: 101 , SR: 94
FL: 638 , FR: 319 , SL: 106 , SR: 92
FL: 607 , FR: 323 , SL: 105 , SR: 95
FL: 643 , FR: 320 , SL: 105 , SR: 89
FL: 641 , FR: 319 , SL: 148 , SR: 92
FL: 639 , FR: 320 , SL: 105 , SR: 89
FL: 644 , FR: 313 , SL: 109 , SR: 97
FL: 655 , FR: 339 , SL: 110 , SR: 93
FL: 644 , FR: 342 , SL: 105 , SR: 93
FL: 644 , FR: 326 , SL: 107 , SR: 98
FL: 645 , FR: 556 , SL: 102 , SR: 97
FL: 648 , FR: 330 , SL: 101 , SR: 91
FL: 644 , FR: 326 , SL: 101 , SR: 94
FL: 644 , FR: 326 , SL: 105 , SR: 94
FL: 655 , FR: 331 , SL: 105 , SR: 93
FL: 644 , FR: 335 , SL: 142 , SR: 92
FL: 644 , FR: 335 , SL: 100 , SR: 90
FL: 644 , FR: 335 , SL: 102 , SR: 91
FL: 646 , FR: 334 , SL: 106 , SR: 91
FL: 644 , FR: 334 , SL: 93 , SR: 87
FL: 644 , FR: 330 , SL: 92 , SR: 180
FL: 644 , FR: 347 , SL: 93 , SR: 92
FL: 655 , FR: 334 , SL: 133 , SR: 94
FL: 644 , FR: 350 , SL: 93 , SR: 91
FL: 644 , FR: 335 , SL: 97 , SR: 87
FL: 644 , FR: 335 , SL: 98 , SR: 93
FL: 644 , FR: 335 , SL: 98 , SR: 89
FL: 655 , FR: 334 , SL: 99 , SR: 92
FL: 642 , FR: 334 , SL: 92 , SR: 94
FL: 645 , FR: 330 , SL: 93 , SR: 90
FL: 644 , FR: 330 , SL: 93 , SR: 173
FL: 644 , FR: 330 , SL: 92 , SR: 173
FL: 655 , FR: 330 , SL: 135 , SR: 173
FL: 645 , FR: 346 , SL: 93 , SR: 173
FL: 643 , FR: 331 , SL: 97 , SR: 173
FL: 655 , FR: 331 , SL: 106 , SR: 173
FL: 644 , FR: 330 , SL: 93 , SR: 172
FL: 644 , FR: 331 , SL: 93 , SR: 87
FL: 655 , FR: 326 , SL: 93 , SR: 95
FL: 536 , FR: 326 , SL: 67 , SR: 82
FL: 462 , FR: 326 , SL: 63 , SR: 91
FL: 454 , FR: 326 , SL: 68 , SR: 76
FL: 460 , FR: 330 , SL: 77 , SR: 89
FL: 468 , FR: 329 , SL: 76 , SR: 80
FL: 471 , FR: 331 , SL: 72 , SR: 79
FL: 481 , FR: 327 , SL: 80 , SR: 83
FL: 481 , FR: 342 , SL: 89 , SR: 89
FL: 482 , FR: 343 , SL: 85 , SR: 79
FL: 482 , FR: 326 , SL: 123 , SR: 81
FL: 480 , FR: 342 , SL: 85 , SR: 80
FL: 481 , FR: 342 , SL: 85 , SR: 84
FL: 481 , FR: 327 , SL: 85 , SR: 82
FL: 482 , FR: 326 , SL: 85 , SR: 74
FL: 493 , FR: 327 , SL: 86 , SR: 77
FL: 480 , FR: 327 , SL: 85 , SR: 74
FL: 482 , FR: 327 , SL: 85 , SR: 83
FL: 481 , FR: 330 , SL: 85 , SR: 83
FL: 470 , FR: 330 , SL: 85 , SR: 82
FL: 433 , FR: 326 , SL: 85 , SR: 83
FL: 378 , FR: 330 , SL: 85 , SR: 82
FL: 340 , FR: 334 , SL: 85 , SR: 89
FL: 321 , FR: 334 , SL: 85 , SR: 82
FL: 322 , FR: 334 , SL: 80 , SR: 87
FL: 333 , FR: 334 , SL: 80 , SR: 82
FL: 321 , FR: 335 , SL: 80 , SR: 85
FL: 325 , FR: 335 , SL: 85 , SR: 87
FL: 326 , FR: 333 , SL: 90 , SR: 89
FL: 325 , FR: 330 , SL: 89 , SR: 80
FL: 323 , FR: 345 , SL: 89 , SR: 79
FL: 326 , FR: 346 , SL: 90 , SR: 74
FL: 325 , FR: 346 , SL: 89 , SR: 95
FL: 325 , FR: 330 , SL: 89 , SR: 84
FL: 336 , FR: 331 , SL: 84 , SR: 83
FL: 326 , FR: 330 , SL: 89 , SR: 80
FL: 325 , FR: 331 , SL: 85 , SR: 87
FL: 325 , FR: 331 , SL: 85 , SR: 85
FL: 325 , FR: 331 , SL: 85 , SR: 90
FL: 336 , FR: 330 , SL: 85 , SR: 83
FL: 324 , FR: 330 , SL: 85 , SR: 89
FL: 325 , FR: 330 , SL: 89 , SR: 97
FL: 331 , FR: 330 , SL: 125 , SR: 84
FL: 345 , FR: 334 , SL: 88 , SR: 101
FL: 340 , FR: 338 , SL: 93 , SR: 93
FL: 345 , FR: 338 , SL: 94 , SR: 100
FL: 345 , FR: 339 , SL: 80 , SR: 99
